src,edge_attr,dst
0,causes,1
1,prevented_by,2
1,has_risk_factor,3
1,transmitted_by,4
1,has_symptom,4
1,occurs_with,5
1,has_risk_factor,6
1,prevented_by,7
1,prevented_by,8
1,is_diagnosed_by,9
1,has_risk_factor,10
1,associated_with,11
1,associated_with,12
1,has_symptom,13
1,transmitted_by,14
1,is_diagnosed_by,15
1,leads_to_complication,16
1,associated_with,17
1,is_prevented_by,18
1,is_diagnosed_by,19
1,transmitted_by,20
1,has_symptom,21
1,is_treated_by,22
1,has_symptom,23
1,has_symptom,24
1,occurs_with,25
1,is_prevented_by,26
1,has_complication,27
1,has_risk_factor,28
1,is_treated_by,29
1,associated_with,30
1,has_symptom,31
1,has_symptom,32
1,associated_with,33
1,has_complication,34
1,is_treated_by,35
1,has_symptom,36
1,has_risk_factor,37
1,has_symptom,38
1,is_diagnosed_by,39
1,is_treated_by,40
1,has_symptom,41
1,has_risk_factor,42
1,is_treated_by,43
1,is_caused_by,0
1,has_risk_factor,44
1,prevented_by,45
1,has_risk_factor,46
1,has_incubation_period,47
1,leads_to_complication,48
1,leads_to_complication,49
1,has_risk_factor,50
2,prevents,1
11,associated_with,1
3,increases_risk_of,1
18,prevents,1
4,transmits,1
5,occurs_with,1
6,increases_risk_of,1
35,treats,1
7,prevents,1
8,prevents,1
9,diagnoses,1
48,complicates,1
10,at_risk_for,1
46,at_risk_for,1
39,diagnoses,1
34,complicates,1
12,associated_with,1
17,associated_with,1
14,transmits,1
15,diagnoses,1
29,treats,1
16,complicates,1
22,treats,1
20,transmits,1
19,diagnoses,1
51,causes,33
33,caused_by,52
33,caused_by,51
37,increases_risk_of,1
25,occurs_with,1
26,prevents,1
27,complicates,1
28,at_risk_for,1
30,associated_with,1
52,causes,33
53,causes,33
45,prevents,1
54,prevents,1
42,at_risk_for,1
49,complicates,1
50,at_risk_for,1
47,incubation_period_of,1
