node_id,node_attr
0,pneumococcus vaccines
1,people with weak immune systems
2,people with chronic diseases
3,adults age 65 or older
4,vaccination
5,children age 2 or younger
6,community transmission
7,pneumonia outbreak
8,herd immunity
9,close contact
10,good hygiene practices
11,flu vaccination
12,annual vaccination
13,high-risk populations
14,pneumonia
15,physical activity
16,aspiration
17,hospital-acquired_infection
18,flu or pneumonia vaccinations
19,hand_washing
20,altered mental status
21,weakness
22,bacteremia
23,antifungal_medications
24,hospitalization
25,indoor air pollution exposure
26,sudden confusion
27,vaccines
28,intravenous_fluids
29,respiratory_failure
30,human metapneumovirus infection
31,cardiovascular wellness
32,age group
33,antivirals
34,lung tissue analysis
35,exposure to sick people
36,respiratory droplets
37,rales
38,chest_x-ray
39,viral_infection
40,blood_tests
41,untreated_pneumonia
42,dementia
43,pleural disorders
44,excessive alcohol consumption
45,bacterial infection
46,antifungal_medicines
47,blood culture
48,bluish tone to skin and lips
49,atypical pneumonia
50,physical_therapy
51,life-threatening_illness
52,lethargy
53,pulmonary_rehabilitation
54,haemophilus influenzae infection
55,walking pneumonia
56,substance abuse
57,arterial_blood_gas_analysis
58,past medical conditions
59,bacterial_infection
60,hygiene maintenance
61,chest x-ray
62,cyanosis
63,air pollution exposure
64,quitting smoking
65,oxygen levels in blood
66,tobacco smoking
67,viral infection
68,immunization_against_pneumococcus
69,bacteria
70,legionella pneumophila infection
71,viruses
72,oxygen supplementation
73,loss_of_appetite
74,corticosteroids
75,high_fever
76,general health status
77,smoking cessation
78,chronic lung disease
79,smoking cessation programs
80,medical_history
81,blood tests
82,chronic liver disease
83,health_centre_diagnosis
84,rapid breathing
85,immunization_against_influenza
86,age 65 years or older
87,community
88,headache
89,shortness of breath
90,pediatric population
91,pulse_oximetry
92,mechanical ventilation
93,hydration
94,antiviral_medicine
95,fluid resuscitation
96,cardiovascular health maintenance
97,antibiotic_resistance
98,thoracentesis
99,chest_pain
100,public health initiatives
101,fungal_infection
102,widening of nostrils with each breath
103,decreased_breath_sounds
104,acute respiratory distress syndrome
105,medical history
106,fungi
107,fever_reduction
108,wheezing
109,genetic predisposition
110,rhinovirus infection
111,bronchoscopy
112,sputum test
113,vomiting
114,influenza virus infection
115,alcohol_and_drug_use
116,rhonchi
117,restlessness
118,pulmonary inflammation
119,analgesics
120,other medical conditions
121,moderate
122,legionnairesâ€™ disease
123,confusion
124,severe pneumonia
125,chills
126,world health organization
127,pleural fluid culture
128,grunting
129,community_health_workers
130,age younger than 5 years
131,ventilator use
132,myalgia
133,rest
134,ventilator
135,maternal vaccination
136,vaccine administration
137,exposure to birds and animals
138,limiting_contact
139,oxygen_therapy
140,severe
141,antibiotic therapy
142,life-threatening condition
143,smoking
144,environmental control
145,adults_over_65
146,dullness_to_percussion
147,pleural effusion
148,children
149,chest_x-ray_abnormalities
150,low birth weight
151,chlamydophila psittaci infection
152,antiviral_medications
153,physical examination
154,community_setting
155,exclusive_breastfeeding
156,antiviral therapy
157,hospital_setting
158,magnetic_resonance_imaging
159,severe comorbidities
160,climate change
161,malnutrition
162,chest tightness
163,surgery
164,low_blood_pressure
165,measles virus infection
166,tiredness
167,post-intensive care syndrome
168,geographic location
169,cough
170,preterm birth
171,polymerase chain reaction (pcr) test
172,flu virus
173,chest computed tomography (ct) scan
174,healthy_diet
175,preexisting_health_conditions
176,environment
177,close contact with infected individuals
178,adenovirus infection
179,community level
180,lifestyle habits
181,bordetella pertussis infection
182,nasal_congestion
183,fungal infection
184,shortness_of_breath
185,arterial blood gas test
186,death
187,sepsis
188,chlamydophila pneumoniae infection
189,respiratory failure
190,physical therapy
191,avoiding_secondhand_smoke
192,human parainfluenza virus infection
193,homelessness
194,rapid_heart_rate
195,liver_damage
196,heart_damage
197,mild
198,parasites
199,hemoptysis
200,blood culture test
201,antibiotics
202,hypothermia
203,low socioeconomic status
204,age_under_5_years
205,dyspnea
206,acute_respiratory_distress_syndrome
