subject,predicate,object
asthma,has_symptom,wheezing
asthma,has_symptom,breathlessness
asthma,has_symptom,chest tightness
asthma,has_symptom,coughing at night or early in the morning
asthma,leads_to_complication,asthma attack
asthma attack,has_symptom,coughing
asthma attack,has_symptom,chest tightness
asthma attack,has_symptom,wheezing
asthma attack,has_symptom,trouble breathing
asthma attack,occurs_with,swelling of airways in lungs
asthma attack,occurs_with,shrinkage of airways
asthma attack,occurs_with,mucous clogging airways
asthma,is_treated_by,controller therapy
asthma,is_treated_by,reliever therapy
controller therapy,treats,asthma
reliever therapy,treats,asthma
asthma,is_diagnosed_by,spirometry
spirometry,is_diagnosed_by,doctor
asthma,has_risk_factor,family history of asthma
asthma,has_risk_factor,family history of allergies
asthma,has_risk_factor,family history of breathing problems
asthma,is_caused_by,asthma triggers
asthma triggers,causes,asthma attack
asthma,is_prevented_by,avoiding asthma triggers
asthma,is_prevented_by,following doctor's advice
asthma,associated_with,physical activity
asthma,associated_with,certain times of year
asthma,associated_with,allergies
asthma,associated_with,breathing problems
asthma,leads_to_complication,missed school or work
asthma,leads_to_complication,trouble doing certain activities
asthma,has_symptom,coughing
asthma,has_symptom,breathing problems
asthma,is_treated_by,asthma medicines
asthma medicines,treats,asthma
asthma medicines,has_symptom,side effects
asthma,has_risk_factor,age under 5 years
asthma,is_caused_by,secondhand smoke
asthma,is_caused_by,dust mites
asthma,is_caused_by,air pollution
asthma,is_caused_by,cockroaches
asthma,is_caused_by,furry pets
asthma,is_caused_by,mold
asthma,is_caused_by,infections linked to flu
asthma,is_caused_by,infections linked to colds
asthma,is_caused_by,infections linked to rsv
asthma,is_caused_by,sinus infections
asthma,is_caused_by,allergies
asthma,is_caused_by,pollen
asthma,is_caused_by,chemicals
asthma,is_caused_by,fragrances
asthma,is_caused_by,acid reflux
asthma,is_caused_by,bad weather
asthma,is_caused_by,thunderstorms
asthma,is_caused_by,high humidity
asthma,is_caused_by,cold dry air
asthma,is_caused_by,allergic foods
asthma,is_caused_by,allergic medicines
asthma,is_caused_by,physical exercise
asthma,is_caused_by,strong emotions
asthma,is_prevented_by,using allergen-proof mattress and pillowcase covers
asthma,is_prevented_by,avoiding down-filled pillows
asthma,is_prevented_by,weekly washing and drying bedding
asthma,is_prevented_by,vacuuming with hepa filter
asthma,is_prevented_by,keeping low humidity levels
asthma,is_prevented_by,controlling pests
asthma,is_prevented_by,removing water and food sources
asthma,is_prevented_by,cleaning dishes and spills
asthma,is_prevented_by,storing food in airtight containers
asthma,is_prevented_by,sealing cracks in homes
asthma,is_prevented_by,avoiding sprays and foggers
asthma,is_prevented_by,keeping pets out of bedrooms
asthma,is_prevented_by,washing furry pets
asthma,is_prevented_by,using air cleaner with hepa filter
asthma,is_prevented_by,getting rid of mold
asthma,is_prevented_by,drying damp items within 24-48 hours
asthma,is_prevented_by,fixing water leaks
asthma,is_prevented_by,replacing moldy ceiling tiles and carpet
asthma,is_prevented_by,using air conditioner or dehumidifier
asthma,is_prevented_by,scrubbing mold off hard surfaces
asthma,is_prevented_by,running bathroom exhaust fan
asthma,occurs_with,infections linked to flu
asthma,occurs_with,infections linked to colds
asthma,occurs_with,infections linked to rsv
asthma,occurs_with,sinus infections
asthma,occurs_with,allergies
asthma,occurs_with,pollen
asthma,occurs_with,chemicals
asthma,occurs_with,fragrances
asthma,occurs_with,acid reflux
asthma,occurs_with,bad weather
asthma,occurs_with,thunderstorms
asthma,occurs_with,high humidity
asthma,occurs_with,cold dry air
asthma,occurs_with,allergic foods
asthma,occurs_with,allergic medicines
asthma,occurs_with,physical exercise
asthma,occurs_with,strong emotions
asthma,is_treated_by,avoiding triggers
asthma,is_treated_by,using air cleaner with hepa filter
asthma,is_treated_by,using allergen-proof mattress and pillowcase covers
asthma,is_treated_by,controlling indoor humidity
asthma,is_treated_by,managing pests
asthma,is_treated_by,removing mold
asthma,is_treated_by,medications for allergic reactions
asthma,is_treated_by,preventing infections
asthma,associated_with,allergic reactions
asthma,associated_with,respiratory infections
asthma,associated_with,air quality
asthma,associated_with,indoor humidity
asthma,associated_with,home environment
asthma,has_risk_factor,exposure to secondhand smoke
asthma,has_risk_factor,high indoor humidity
asthma,has_risk_factor,presence of dust mites
asthma,has_risk_factor,air pollution exposure
asthma,has_risk_factor,cockroach infestation
asthma,has_risk_factor,pet allergy
asthma,has_risk_factor,mold growth
asthma,has_risk_factor,respiratory infections
asthma,has_risk_factor,allergies
asthma,has_risk_factor,poor air quality
asthma,has_symptom,asthma attack
asthma,has_symptom,shortness of breath
asthma,is_diagnosed_by,medical history evaluation
asthma,is_diagnosed_by,physical examination
asthma,is_diagnosed_by,lung function tests
asthma,is_diagnosed_by,allergy testing
asthma,is_diagnosed_by,chest x-ray
asthma,treats,asthma attack
medications,treats,asthma
avoiding triggers,treats,asthma
air cleaner with hepa filter,treats,asthma
allergen-proof mattress and pillowcase covers,treats,asthma
controlling indoor humidity,treats,asthma
managing pests,treats,asthma
removing mold,treats,asthma
medications for allergic reactions,treats,asthma
preventing infections,treats,asthma
secondhand smoke,causes,asthma attack
dust mites,causes,asthma attack
air pollution,causes,asthma attack
cockroaches,causes,asthma attack
furry pets,causes,asthma attack
mold,causes,asthma attack
infections linked to flu,causes,asthma attack
infections linked to colds,causes,asthma attack
infections linked to rsv,causes,asthma attack
sinus infections,causes,asthma attack
allergies,causes,asthma attack
pollen,causes,asthma attack
chemicals,causes,asthma attack
fragrances,causes,asthma attack
acid reflux,causes,asthma attack
bad weather,causes,asthma attack
thunderstorms,causes,asthma attack
high humidity,causes,asthma attack
cold dry air,causes,asthma attack
allergic foods,causes,asthma attack
allergic medicines,causes,asthma attack
physical exercise,causes,asthma attack
strong emotions,causes,asthma attack
asthma action plan,treats,asthma
asthma,is_treated_by,asthma action plan
asthma,has_risk_factor,not stopping medications
asthma,has_risk_factor,changing treatment plan without consultation
asthma,is_prevented_by,taking medications as prescribed
asthma,is_prevented_by,using inhaler correctly
asthma,is_prevented_by,having 30-day medication supply
asthma,is_prevented_by,washing hands
asthma,is_prevented_by,using alcohol-based hand sanitizer
asthma,is_prevented_by,cleaning and disinfecting frequently touched items
asthma,is_prevented_by,avoiding disinfectants that trigger asthma attacks
asthma,is_prevented_by,avoiding cleaning product spray into air
asthma,is_prevented_by,opening windows during cleaning
asthma,is_prevented_by,using fan to blow air outdoors
asthma,is_prevented_by,applying cleaner to cloth or paper towel
asthma,is_prevented_by,following product label instructions
asthma,is_prevented_by,coping with stress and anxiety
asthma attack,associated_with,asthma
asthma,associated_with,asthma triggers
asthma,has_risk_factor,poor hand hygiene
asthma,has_risk_factor,close contact with sick individuals
asthma,has_risk_factor,not cleaning frequently touched items
asthma,has_risk_factor,using asthma-triggering disinfectants
asthma,has_risk_factor,not following cleaning instructions
asthma,has_risk_factor,unmanaged stress and anxiety
asthma,is_caused_by,airway inflammation
asthma,has_symptom,narrowed airways
asthma,has_symptom,harder breathing out
asthma,occurs_with,airway inflammation
asthma,occurs_with,narrowed airways
asthma,is_treated_by,treatment
asthma,is_prevented_by,avoiding triggers
asthma,is_prevented_by,monitoring
asthma,has_risk_factor,age
asthma,has_risk_factor,childhood onset
asthma,associated_with,airways in lungs
asthma,associated_with,united states
asthma,associated_with,centers for disease control and prevention
asthma,associated_with,nhlbi’s learn more breathe better ® asthma program
asthma,occurs_with,asthma triggers
asthma,occurs_with,exercise
asthma,occurs_with,viral infections
asthma,occurs_with,cold air
asthma triggers,causes,asthma symptoms
asthma attack,occurs_with,worsened asthma symptoms
treatment,treats,asthma
avoiding triggers,prevents,asthma
monitoring,prevents,asthma
airway inflammation,causes,narrowed airways
narrowed airways,causes,harder breathing out
united states,associated_with,asthma
centers for disease control and prevention,associated_with,asthma
nhlbi’s learn more breathe better ® asthma program,associated_with,asthma
airways in lungs,associated_with,asthma
childhood,associated_with,asthma onset
age,associated_with,asthma
airway inflammation,associated_with,asthma
narrowed airways,associated_with,asthma
asthma attack,leads_to_complication,asthma
asthma symptoms,leads_to_complication,asthma attack
asthma triggers,leads_to_complication,asthma attack
pollen,causes,asthma symptoms
exercise,causes,asthma symptoms
viral infections,causes,asthma symptoms
cold air,causes,asthma symptoms
asthma action plan,includes,monitoring
asthma action plan,includes,avoiding triggers
asthma action plan,includes,using medicines
monitoring,is_prevented_by,asthma action plan
avoiding triggers,is_prevented_by,asthma action plan
using medicines,is_prevented_by,asthma action plan
asthma action plan,is_treated_by,monitoring
asthma action plan,is_treated_by,avoiding triggers
asthma action plan,is_treated_by,using medicines
treatment,includes,asthma action plan
treatment,includes,monitoring
treatment,includes,avoiding triggers
treatment,includes,using medicines
asthma,has_symptom,asthma symptoms
asthma attack,has_symptom,worsened asthma symptoms
asthma,has_risk_factor,united states
asthma,has_risk_factor,childhood
asthma,has_risk_factor,pollen
asthma,has_risk_factor,exercise
asthma,has_risk_factor,viral infections
asthma,has_risk_factor,cold air
asthma,has_risk_factor,asthma triggers
asthma,has_risk_factor,airway inflammation
asthma,has_risk_factor,narrowed airways
asthma,has_risk_factor,harder breathing out
asthma,has_risk_factor,asthma attack
asthma,has_risk_factor,asthma symptoms
asthma,has_risk_factor,asthma action plan
asthma,has_risk_factor,treatment
asthma,has_risk_factor,monitoring
asthma,has_risk_factor,avoiding triggers
asthma,has_risk_factor,using medicines
asthma,has_risk_factor,nhlbi’s learn more breathe better ® asthma program
asthma,has_risk_factor,centers for disease control and prevention
asthma,has_risk_factor,airways in lungs
asthma,has_risk_factor,1 in 13 americans
asthma,has_risk_factor,1 in 13 people in the united states
asthma,has_risk_factor,asthma onset
asthma,has_risk_factor,asthma facts
asthma,has_risk_factor,asthma guides
asthma,has_risk_factor,tip sheets
asthma,has_risk_factor,other resources
asthma,has_risk_factor,fact sheet asthma facts for patients and families
asthma,has_risk_factor,asthma program
asthma,has_risk_factor,asthma action
asthma,is_caused_by,viral infections
asthma,is_caused_by,exercise
asthma,is_caused_by,cold air
asthma,is_caused_by,breathing too fast from laughing or crying
asthma,occurs_with,breathing too fast from laughing or crying
asthma,is_treated_by,reliever medicine
asthma,leads_to_complication,trouble with usual activities
asthma,has_risk_factor,night time
asthma,has_risk_factor,morning time
asthma,has_risk_factor,young age
asthma,has_risk_factor,older age
asthma,associated_with,chronic condition
asthma,associated_with,lung function
asthma,associated_with,asthma action plan
reliever medicine,treats,asthma
viral infections,causes,asthma
exercise,causes,asthma
allergies,causes,asthma
cold air,causes,asthma
breathing too fast from laughing or crying,causes,asthma
asthma attack,has_symptom,swelling of airways
asthma attack,has_symptom,tightening of airways
asthma attack,has_symptom,harder to breathe
asthma attack,has_symptom,lightheadedness
asthma attack,leads_to_complication,life-threatening situation
asthma,is_treated_by,reliever inhaler
asthma,is_treated_by,controller medicines
asthma,is_treated_by,corticosteroids
asthma,is_treated_by,short-acting beta2-agonist (saba) medicine
asthma,is_treated_by,nebulizer treatment
asthma,is_treated_by,oxygen therapy
asthma,is_treated_by,ventilator
asthma,has_risk_factor,difficult to treat asthma
asthma,has_risk_factor,past hospitalization for asthma
asthma,has_risk_factor,past life-threatening asthma attacks
asthma,has_risk_factor,non-use of inhaled corticosteroids
asthma,has_risk_factor,frequent use of short-acting beta2-agonist (saba) medicine
asthma,has_risk_factor,mental health condition
asthma,has_risk_factor,alcohol or drug use disorder
asthma,has_risk_factor,non-adherence to asthma action plan
asthma,has_risk_factor,food allergy
asthma attack,occurs_with,low peak flow number
asthma,associated_with,emergency care
asthma,associated_with,er visit
asthma attack,is_treated_by,medical attention
asthma attack,is_treated_by,emergency care
asthma,has_symptom,flare-ups
asthma,leads_to_complication,serious asthma attack
severe asthma attack,leads_to_complication,need for oxygen therapy
severe asthma attack,leads_to_complication,need for ventilator
asthma,is_diagnosed_by,peak flow meter
asthma,has_risk_factor,young children
young children with asthma,has_risk_factor,drowsiness
young children with asthma,has_risk_factor,confusion
young children with asthma,has_risk_factor,troubled breathing
young children with asthma,has_risk_factor,blue tint to skin and lips
young children with asthma,has_risk_factor,fast heartbeat
asthma,is_caused_by,unknown causes
