subject,predicate,object
chronic-obstructive-pulmonary-disease-copd,has_symptom,frequent coughing or wheezing
chronic-obstructive-pulmonary-disease-copd,has_symptom,shortness of breath doing everyday activities
chronic-obstructive-pulmonary-disease-copd,has_symptom,trouble taking deep breaths
chronic-obstructive-pulmonary-disease-copd,has_symptom,excess phlegm or mucus
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,difficulty working or doing usual activities
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,difficulty walking or climbing stairs
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,difficulty concentrating remembering or making decisions
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,other chronic diseases like asthma heart disease and diabetes
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,depression or mental health condition
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,reported poor health
chronic-obstructive-pulmonary-disease-copd,is_caused_by,tobacco smoke
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,smoking or used to smoke cigarettes
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,secondhand smoke
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,exposure to environmental or workplace breathing hazards
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,family history of copd
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,asthma
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,stop smoking
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,avoid inhaling cigarette smoke
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,limit time in places with bad air quality
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,spironmetry test
chronic-obstructive-pulmonary-disease-copd,is_treated_by,lifestyle changes
chronic-obstructive-pulmonary-disease-copd,is_treated_by,pulmonary rehabilitation programs
chronic-obstructive-pulmonary-disease-copd,is_treated_by,medication
chronic-obstructive-pulmonary-disease-copd,is_treated_by,respiratory infections treatment with antibiotics
chronic-obstructive-pulmonary-disease-copd,is_treated_by,vaccinations
chronic-obstructive-pulmonary-disease-copd,is_treated_by,oxygen therapy
medication,treats,chronic-obstructive-pulmonary-disease-copd
respiratory infections treatment with antibiotics,treats,chronic-obstructive-pulmonary-disease-copd
vaccinations,treats,chronic-obstructive-pulmonary-disease-copd
oxygen therapy,treats,chronic-obstructive-pulmonary-disease-copd
pulmonary rehabilitation programs,treats,chronic-obstructive-pulmonary-disease-copd
lifestyle changes,treats,chronic-obstructive-pulmonary-disease-copd
tobacco smoke,causes,chronic-obstructive-pulmonary-disease-copd
smoking or used to smoke cigarettes,associated_with,chronic-obstructive-pulmonary-disease-copd
secondhand smoke,associated_with,chronic-obstructive-pulmonary-disease-copd
exposure to environmental or workplace breathing hazards,associated_with,chronic-obstructive-pulmonary-disease-copd
family history of copd,associated_with,chronic-obstructive-pulmonary-disease-copd
asthma,associated_with,chronic-obstructive-pulmonary-disease-copd
current or former smokers,associated_with,chronic-obstructive-pulmonary-disease-copd
people with a history of asthma,associated_with,chronic-obstructive-pulmonary-disease-copd
women,associated_with,chronic-obstructive-pulmonary-disease-copd
adults 65 and older,associated_with,chronic-obstructive-pulmonary-disease-copd
american indian or alaska native populations,associated_with,chronic-obstructive-pulmonary-disease-copd
people of more than one race,associated_with,chronic-obstructive-pulmonary-disease-copd
people who are unemployed unable to work retired a homemaker or a student,associated_with,chronic-obstructive-pulmonary-disease-copd
people with less than a high school education,associated_with,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,has_symptom,coughing with large amounts of mucus
chronic-obstructive-pulmonary-disease-copd,has_symptom,breathing problems
chronic-obstructive-pulmonary-disease-copd,has_symptom,shortness of breath
chronic-obstructive-pulmonary-disease-copd,has_symptom,chest tightness
chronic-obstructive-pulmonary-disease-copd,is_caused_by,damage to the airways or other parts of the lung
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,disability
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,death
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,not smoking
chronic-obstructive-pulmonary-disease-copd,is_treated_by,quitting smoking
chronic-obstructive-pulmonary-disease-copd,is_treated_by,pulmonary rehabilitation
chronic-obstructive-pulmonary-disease-copd,is_treated_by,medicines to treat complications
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,smoking
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,air pollution
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,alpha-1 antitrypsin deficiency
emphysema,is_caused_by,damage to the walls between air sacs in the lungs
chronic-bronchitis,is_caused_by,repeated or constant irritation and inflammation in the airways
chronic-obstructive-pulmonary-disease-copd,occurs_with,emphysema
chronic-obstructive-pulmonary-disease-copd,occurs_with,chronic bronchitis
cigarette smoking,causes,chronic-obstructive-pulmonary-disease-copd
air pollution,causes,chronic-obstructive-pulmonary-disease-copd
alpha-1 antitrypsin deficiency,causes,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,associated_with,higher rates in women
chronic-obstructive-pulmonary-disease-copd,associated_with,higher rates in american indian and alaska native communities
chronic-obstructive-pulmonary-disease-copd,associated_with,higher rates in rural areas
chronic-obstructive-pulmonary-disease-copd,has_symptom,ongoing cough
chronic-obstructive-pulmonary-disease-copd,has_symptom,wheezing
chronic-obstructive-pulmonary-disease-copd,has_symptom,fatigue
chronic-obstructive-pulmonary-disease-copd,has_symptom,lack of appetite
chronic-obstructive-pulmonary-disease-copd,has_symptom,loss of weight and muscle
chronic-obstructive-pulmonary-disease-copd,has_symptom,anxiety
chronic-obstructive-pulmonary-disease-copd,has_symptom,depression
chronic-obstructive-pulmonary-disease-copd,is_caused_by,infection
chronic-obstructive-pulmonary-disease-copd,is_caused_by,dust
chronic-obstructive-pulmonary-disease-copd,is_caused_by,smoke
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,flare-up
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,exacerbation
flare-up,is_treated_by,antibiotics
flare-up,is_treated_by,bronchodilators
flare-up,is_treated_by,inhaled steroids
flare-up,is_treated_by,oral steroids
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,heart disease
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,poor sleep
chronic-obstructive-pulmonary-disease-copd,occurs_with,heart disease
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,healthcare provider
chronic-obstructive-pulmonary-disease-copd,is_treated_by,lifestyle adjustments
chronic-obstructive-pulmonary-disease-copd,is_treated_by,treatments
chronic-obstructive-pulmonary-disease-copd,is_treated_by,medicines
flare-up,causes,low oxygen level in blood
flare-up,causes,fast heartbeat
flare-up,causes,mental alertness issues
chronic-obstructive-pulmonary-disease-copd,is_caused_by,cigarette smoking
chronic-obstructive-pulmonary-disease-copd,is_caused_by,exposure to tobacco smoke
chronic-obstructive-pulmonary-disease-copd,is_caused_by,exposure to air pollutants
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,exposure to air pollution
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,exposure to chemical fumes
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,exposure to dust
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,exposure to secondhand smoke
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,smaller airways
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,conditions affecting lung growth and development
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,smoking during pregnancy
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,childhood asthma
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,air pollution exposure during childhood
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,hiv infection
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,tuberculosis infection
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,age over 40 years
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,alpha-1 antitrypsin (aat) deficiency
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,vitamin d deficiency
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,mutations in chrna genes
chronic-obstructive-pulmonary-disease-copd,occurs_with,loss of elastic quality in airways and air sacs
chronic-obstructive-pulmonary-disease-copd,occurs_with,destruction of air sac walls
chronic-obstructive-pulmonary-disease-copd,occurs_with,thickening and inflammation of airway walls
chronic-obstructive-pulmonary-disease-copd,occurs_with,excessive mucus production in airways
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,reduced airflow in airways
smoking,causes,lung damage
exposure to tobacco smoke,causes,lung damage
exposure to air pollutants,causes,lung damage
alpha-1 antitrypsin (aat) deficiency,causes,lung damage
mutations in chrna genes,associated_with,copd risk
vitamin d deficiency,associated_with,copd risk
hormonal differences,associated_with,differences in copd between men and women
physiological differences,associated_with,differences in copd between men and women
biological differences,associated_with,differences in copd between men and women
smaller lung size in women,associated_with,increased airway narrowing risk
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,spirometry
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,peak_expiratory_flow_test
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,arterial_blood_gas_test
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,chest_x-ray
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,chest_computed_tomography_scan
chronic-obstructive-pulmonary-disease-copd,has_symptom,persistent_shortness_of_breath
chronic-obstructive-pulmonary-disease-copd,has_symptom,ongoing_cough
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,smoking_habits
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,contact_with_secondhand_smoke
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,air_pollution_exposure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,chemical_fumes_exposure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,dust_exposure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,alpha-1_antitrypsin_deficiency
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,family_history_of_copd
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,liver_disease
spirometry,measures,air_exhaled_volume
spirometry,measures,air_exhalation_speed
alpha-1_antitrypsin_deficiency,associated_with,genetic_condition
alpha-1_antitrypsin_deficiency,increases_risk_of,chronic-obstructive-pulmonary-disease-copd
chest_computed_tomography_scan,detects,lung_cancer
chest_computed_tomography_scan,detects,lung_tumor
chest_computed_tomography_scan,detects,pleural_effusion
chest_computed_tomography_scan,detects,pneumonia
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,lung_cancer
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,pneumonia
chronic-obstructive-pulmonary-disease-copd,occurs_with,pleural_effusion
spirometry,helps_set,treatment_goals
spirometry,detects,airway_obstruction
spirometry,performed_with,bronchodilator_medicine
arterial_blood_gas_test,measures,blood_oxygen_level
arterial_blood_gas_test,measures,blood_carbon_dioxide_level
chest_x-ray,detects,chest_structures
chest_x-ray,identifies,coexisting_conditions
genetic_screening,recommended_for,family_members_with_copd
genetic_screening,recommended_for,individuals_with_alpha-1_antitrypsin_deficiency
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,quitting smoking
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,avoiding air pollution
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,avoiding chemical fumes
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,avoiding dust
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,avoiding secondhand smoke
chronic-obstructive-pulmonary-disease-copd,is_caused_by,smoking
quitting smoking,treats,chronic-obstructive-pulmonary-disease-copd
smoking,causes,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,occurs_with,serious symptoms
support group,associated_with,quitting smoking
healthcare provider,associated_with,quitting smoking programs
healthcare provider,associated_with,quitting smoking products
e-cigarettes,associated_with,quitting smoking tobacco
national cancer institute’s smoking quitline,associated_with,free help and support to quit smoking
