subject,predicate,object
tuberculosis,is_caused_by,mycobacterium tuberculosis
tuberculosis,is_caused_by,other mycobacteria
tuberculosis,occurs_with,mycobacterium bovis
tuberculosis,affects,lungs
tuberculosis,affects,brain
tuberculosis,affects,kidneys
tuberculosis,affects,spine
tuberculosis,leads_to_complication,active tb disease
tuberculosis,leads_to_complication,inactive tb
inactive tb,is_treated_by,treatments
active tb disease,is_treated_by,medicine
tuberculosis,has_symptom,cough that lasts three weeks or longer
tuberculosis,has_symptom,chest pain
tuberculosis,has_symptom,coughing up blood or sputum
tuberculosis,has_symptom,weakness or fatigue
tuberculosis,has_symptom,weight loss
tuberculosis,has_symptom,loss of appetite
tuberculosis,has_symptom,chills
tuberculosis,has_symptom,fever
tuberculosis,has_symptom,night sweats
inactive tb,has_risk_factor,weaker immune system
inactive tb,has_risk_factor,diabetes
inactive tb,has_risk_factor,cancer
inactive tb,has_risk_factor,hiv
tuberculosis,has_risk_factor,birth in countries where tb is common
tuberculosis,has_risk_factor,frequent travel to countries where tb is common
tuberculosis,has_risk_factor,living in large group settings
tuberculosis,has_risk_factor,recent contact with someone with active tb disease
tuberculosis,is_prevented_by,treatments for inactive tb
tuberculosis,is_diagnosed_by,tb blood test
tuberculosis,is_diagnosed_by,tb skin test
tuberculosis,is_diagnosed_by,chest x-ray
tuberculosis,is_diagnosed_by,sputum test
active tb disease,leads_to_complication,fatal outcome
inactive tb,leads_to_complication,active tb disease
tuberculosis,spreads_through,air
tuberculosis,spreads_through,coughing
tuberculosis,spreads_through,speaking
tuberculosis,spreads_through,singing
tuberculosis,associated_with,bcg vaccine
bcg vaccine,prevents,severe forms of active tb disease
bcg vaccine,prevents,tb meningitis
tuberculosis,is_treated_by,finishing all prescribed medicine
health care provider,recommends,tb blood test
health care provider,performs,chest x-ray
health care provider,performs,sputum test
tb blood test,measures,immune system reaction to tb germs
tb skin test,has_risk_factor,false positive reaction with bcg vaccine
inactive tb,has_risk_factor,not treated properly
active tb disease,has_risk_factor,not treated properly
tuberculosis,has_risk_factor,working in high-risk settings
active tb disease,has_symptom,bad cough that lasts 3 weeks or longer
active tb disease,has_symptom,pain in the chest
active tb disease,has_symptom,coughing up blood or sputum from deep inside the lungs
active tb disease,has_symptom,weakness or fatigue
active tb disease,has_symptom,weight loss
active tb disease,has_symptom,no appetite
active tb disease,has_symptom,chills
active tb disease,has_symptom,fever
active tb disease,has_symptom,sweating at night
tb disease of the lymph nodes,has_symptom,firm red or purple swelling under the skin
tb disease of the kidney,has_symptom,blood in the urine
tb meningitis,has_symptom,headache
tb meningitis,has_symptom,confusion
tb disease of the spine,has_symptom,back pain
tb disease of the larynx,has_symptom,hoarseness
inactive tb,has_risk_factor,developing active tb disease
inactive tb,is_treated_by,treatment to prevent active tb disease
active tb disease,is_diagnosed_by,tb testing
tuberculosis,has_risk_factor,weakened immune system
inactive tb,is_caused_by,tuberculosis
inactive tb,occurs_with,latent tb infection
active tb disease,leads_to_complication,death
active tb disease,is_caused_by,immune system failure
active tb disease,occurs_with,tb germs multiplication
tuberculosis,is_treated_by,treatment
active tb disease,occurs_with,symptoms
active tb disease,spreads_in,indoor areas
active tb disease,spreads_in,poor air circulation environments
tuberculosis,does_not_spread_through,handshaking
tuberculosis,does_not_spread_through,food sharing
tuberculosis,does_not_spread_through,bed linen touching
tuberculosis,does_not_spread_through,toilet seat touching
tuberculosis,does_not_spread_through,toothbrush sharing
tuberculosis,does_not_spread_through,kissing
tb germs,live_in,body
tb germs,move_through,blood
tb germs,settle_in,lungs
tb germs,spread_to,kidney
tb germs,spread_to,spine
tb germs,spread_to,brain
inactive tb,has_symptom,no symptoms
active tb disease,has_symptom,symptoms
people with active tb disease,can_spread,tb germs
people with inactive tb,cannot_spread,tb germs
tb germs,can_be_fatal,without treatment
tuberculosis,has_form,inactive tb
tuberculosis,has_form,active tb disease
bacille calmette-guérin (bcg),is_prevented_by,tuberculosis
bacille calmette-guérin (bcg),is_treated_by,infants and small children
tuberculosis,has_symptom,tb meningitis
bacille calmette-guérin (bcg),causes,false positive tb skin test reaction
tuberculosis,is_diagnosed_by,tb blood tests
bacille calmette-guérin (bcg),associated_with,tb skin test
bacille calmette-guérin (bcg),occurs_with,countries where tb is common
bacille calmette-guérin (bcg),has_risk_factor,people born outside the united states
tuberculosis,leads_to_complication,severe forms of active tb disease
bacille calmette-guérin (bcg),treats,tuberculosis
tuberculosis,has_symptom,symptoms of tb disease
