subject,predicate,object
asthma,occurs_with,food_allergy
asthma,is_prevented_by,irritant avoidance
asthma,is_caused_by,sensitizing agents
asthma,has_risk_factor,mental_health_disorders
nhlbi’s learn more breathe better asthma program,associated_with,asthma
asthma,is_caused_by,viral_infections
asthma,is_caused_by,asthma_trigger
asthma,has_risk_factor,difficult_to_treat_asthma
asthma,has_risk_factor,gastroesophageal_reflux_disease_(gerd)
asthma,has_risk_factor,hyperventilation
asthma,is_prevented_by,coping with stress and anxiety
asthma_attack,has_symptom,harder_to_breathe
asthma,associated_with,centers for disease control and prevention
asthma_attack,has_symptom,swelling_of_airways
asthma,occurs_with,viral infections
asthma_attack,has_symptom,lightheadedness
asthma,has_risk_factor,secondhand smoke
asthma,has_risk_factor,air_quality_index_(aqi)_changes
asthma,associated_with,bacterial respiratory infections
asthma,has_risk_factor,narrowed airways
asthma,has_risk_factor,irritants
asthma,leads_to_complication,airway_hyperresponsiveness
asthma,is_diagnosed_by,childhood development assessment
asthma,has_risk_factor,secondhand_smoke_exposure
thunderstorms,causes,asthma attack
family_history_of_asthma,causes,asthma
cockroaches,causes,asthma attack
asthma_symptoms,caused_by,grass_pollen
asthma,is_prevented_by,asthma_action_plan
asthma,has_risk_factor,smoking_relapse
asthma,has_risk_factor,psychological_trauma
asthma,has_symptom,harder breathing out
asthma,is_diagnosed_by,challenge tests
asthma,is_prevented_by,opening windows during cleaning
asthma,associated_with,environmental factors
asthma,has_risk_factor,airway_inflammation
asthma,has_risk_factor,elevated_indoor_humidity
asthma,is_characterized_by,asthma_symptoms
asthma,occurs_with,exercise_induced_bronchospasm
bronchodilators,treats,asthma
asthma,is_treated_by,daily controller medication
asthma,has_risk_factor,post-traumatic_stress_disorder_(ptsd)
allergic asthma,is_treated_by,inhaled corticosteroids
asthma,associated_with,er_visit
asthma,associated_with,physical_activity
asthma,is_prevented_by,pet_grooming
asthma,has_risk_factor,sinusitis
asthma,has_risk_factor,infections linked to flu
asthma,has_risk_factor,age
asthma,has_risk_factor,anxiety
asthma,occurs_with,fragrance_sensitivity
asthma_attack,has_symptom,worsened_asthma_symptoms
asthma,is_diagnosed_by,fractional exhaled nitric oxide tests
asthma,is_prevented_by,monitoring
asthma,has_risk_factor,occupational_hazards
asthma,has_risk_factor,allergic_conditions
asthma,occurs_with,gastroesophageal_reflux_disease
asthma,leads_to_complication,tiredness
asthma,has_risk_factor,moulds
asthma,is_prevented_by,using inhaler correctly
asthma,has_risk_factor,indoor_mold
asthma,associated_with,seasonal_variability
asthma,is_caused_by,thunderstorm_activity
asthma,has_risk_factor,poor air quality
asthma,has_risk_factor,close contact with sick individuals
asthma,has_risk_factor,alcohol_or_drug_use_disorder
allergic_conditions,causes,asthma
asthma action plan,includes,emergency protocol
asthma,has_risk_factor,cold dry air
bronchial thermoplasty,has_risk_factor,asthma exacerbation
asthma,leads_to_complication,emergency_health_care
asthma,is_prevented_by,mold_removal
asthma,has_risk_factor,non-adherence_to_asthma_action_plan
asthma,has_risk_factor,tobacco_smoke_exposure
asthma,is_diagnosed_by,medical history evaluation
asthma,has_risk_factor,psychological_stress
asthma_medications,treats,asthma
asthma,associated_with,allergic_response
airway inflammation,causes,narrowed airways
asthma,has_risk_factor,dust_mite_infestation
asthma,has_risk_factor,infections linked to colds
asthma,has_risk_factor,carbon_monoxide_(co)_exposure
asthma,is_diagnosed_by,allergy testing
asthma,has_trigger,poor air quality
asthma,is_caused_by,animal dander
asthma,is_treated_by,weight management
asthma,is_prevented_by,hypoallergenic_pillows
asthma,has_risk_factor,outdoor_air_pollution
reliever_therapy,treats,asthma
asthma,has_risk_factor,changing treatment plan without consultation
preventing infections,treats,asthma
treatment,includes,asthma_action_plan
asthma,occurs_with,narrowed airways
asthma action plan,includes,monitoring
asthma,is_prevented_by,adherence_to_medical_advice
strong emotions,causes,asthma attack
asthma,associated_with,domestic_environment
asthma,is_caused_by,cold_air
high humidity,causes,asthma attack
asthma,has_risk_factor,smoking_exposure
asthma,is_caused_by,exercise
asthma,associated_with,nocturnal triggers
moulds,causes,asthma
asthma,has_risk_factor,respiratory_infections
cold dry air,causes,asthma attack
asthma,has_risk_factor,frequent_use_of_short-acting_beta2-agonist_(saba)_medicine
asthma,associated_with,electronic nicotine delivery systems
managing pests,treats,asthma
asthma,is_diagnosed_by,peak_flow_meter
asthma,is_prevented_by,asthma_education
asthma,occurs_with,viral_infection
asthma,is_treated_by,short-acting_beta2-agonist_(saba)_medicine
asthma,is_prevented_by,pet_exclusion_from_bedrooms
asthma,has_risk_factor,family_history_of_allergies
asthma,is_treated_by,inhaler
asthma,has_risk_factor,airways_in_lungs
asthma,is_treated_by,smoking cessation therapy
asthma,associated_with,aspirin sensitivity
asthma,has_risk_factor,poor_ventilation
asthma,has_risk_factor,passive_smoking
viral infections,causes,asthma symptoms
asthma,occurs_with,breathing_too_fast_from_laughing_or_crying
asthma,has_risk_factor,food_allergy
asthma,has_risk_factor,night_time
asthma,occurs_with,sinusitis
air pollution,causes,asthma attack
asthma,leads_to_complication,serious_asthma_attack
asthma,has_risk_factor,fragrances
asthma,has_risk_factor,air_conditioning
spacer_device,treats,asthma
asthma,has_risk_factor,rodent_allergens
asthma,has_risk_factor,house_dust_mites
asthma,occurs_with,chemical_exposure
asthma,has_risk_factor,viral infections
airways in lungs,associated_with,asthma
asthma,has_risk_factor,sleep_apnea
asthma,is_caused_by,dust_mite_allergen
asthma,is_treated_by,sleep hygiene
asthma,is_prevented_by,carpet_replacement
inhaled long-acting bronchodilators,prevents,bronchoconstriction
asthma,associated_with,air pollution
asthma,is_treated_by,regular exercise
asthma,has_risk_factor,environmental_tobacco_smoke
asthma,associated_with,united states
asthma,is_treated_by,antiallergic_medication
asthma,has_trigger,physical activity
asthma,is_prevented_by,asthma action plan
asthma,has_risk_factor,dust mites
treatment,treats,asthma
furry pets,causes,asthma attack
treatment,includes,using_medicines
asthma,occurs_with,bacterial_infection
asthma,has_risk_factor,temperature_extremes
asthma,has_risk_factor,infections linked to rsv
asthma,occurs_with,allergic_reaction
pollen,causes,asthma symptoms
asthma,associated_with,genetic factors
environmental_allergens,causes,asthma
asthma,associated_with,lung_function
asthma,is_prevented_by,applying cleaner to cloth or paper towel
asthma,has_risk_factor,indoor_air_pollutants
asthma,is_caused_by,gastroesophageal_reflux_disease
asthma,has_risk_factor,particulate_matter_(pm)_exposure
asthma,has_risk_factor,cooking_fumes
allergy immunotherapy,prevents,allergic response
fragrances,causes,asthma attack
asthma attack,leads_to_complication,asthma
asthma,has_risk_factor,strong emotions
avoiding triggers,is_prevented_by,asthma action plan
asthma_attack,has_symptom,dyspnea
asthma,is_prevented_by,air_purification
asthma,is_prevented_by,using alcohol-based hand sanitizer
asthma action plan,includes,medication regimen
asthma,is_caused_by,respiratory_syncytial_virus
asthma,is_treated_by,long-term control medications
asthma,has_symptom,respiratory_distress
asthma,has_risk_factor,airway inflammation
asthma,occurs_with,allergen exposure
asthma,has_risk_factor,mold_growth
asthma,occurs_with,emotional_stress
asthma,has_symptom,early morning symptoms
asthma,is_prevented_by,mold_eradication
asthma,is_diagnosed_by,health_professional
asthma,occurs_with,inclement_weather
asthma,associated_with,obesity
quick-relief medications,treats,asthma exacerbation
asthma,associated_with,anxiety disorder
asthma,occurs_with,coronavirus disease 2019
asthma,is_diagnosed_by,chest ct scan
asthma,is_caused_by,pollen_allergen
asthma,has_symptom,breathlessness
airway inflammation,associated_with,asthma
asthma_symptoms,caused_by,triggers
asthma,associated_with,airways in lungs
asthma,is_treated_by,nhlbi-supported_research_treatments
asthma,has_symptom,flare-ups
asthma,is_treated_by,reliever inhaler
asthma,occurs_with,high_humidity
asthma,has_risk_factor,not following cleaning instructions
united states,associated_with,asthma
asthma,associated_with,major depressive disorder
asthma,has_risk_factor,chemicals
monitoring,is_prevented_by,asthma action plan
asthma,is_treated_by,corticosteroids
asthma,has_risk_factor,volatile_organic_compounds_(vocs)_exposure
asthma,is_diagnosed_by,adult-onset diagnosis
asthma_trigger,causes,asthma_attack
inhaled mast cell stabilizers,prevents,airway inflammation
asthma_attack,is_treated_by,emergency_care
asthma,is_prevented_by,ventilation_enhancement
asthma,occurs_with,airway wall thickening
asthma,is_caused_by,viral_infection
asthma action plan,is_treated_by,avoiding triggers
asthma,has_risk_factor,language_barriers
exercise-induced asthma,is_type_of,asthma
nocturnal asthma,is_type_of,asthma
nocturnal asthma,is_caused_by,poor symptom management
asthma,is_diagnosed_by,blood tests
asthma,is_treated_by,steroids
avoiding triggers,prevents,asthma
asthma,is_caused_by,sinusitis
exercise-induced asthma,is_treated_by,pre-exercise reliever medication
asthma,has_risk_factor,thickened_airway_walls
asthma,has_trigger,emotional stress
asthma,is_caused_by,chemical_exposure
asthma,has_risk_factor,childhood onset
asthma,has_risk_factor,cockroach_allergens
asthma,is_treated_by,bronchial thermoplasty
asthma,has_symptom,airway irritation
asthma,is_prevented_by,avoiding_air_pollution
asthma,is_prevented_by,healthy_lifestyle
exercise-induced asthma,is_caused_by,physical exertion
asthma,has_risk_factor,childhood
low_birth_weight,causes,asthma
asthma,has_symptom,narrowed airways
asthma,occurs_with,increased nitric oxide levels
quick-relief medications,has_adverse_effect,rapid heartbeat
asthma,is_treated_by,nebulizer_treatment
