subject,predicate,object
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,dust exposure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,secondhand smoke exposure
chronic-obstructive-pulmonary-disease-copd,occurs_with,emphysema
chronic-obstructive-pulmonary-disease-copd,associated_with,not getting enough physical activity
tobacco smoke exposure,causes,pulmonary damage
chronic-obstructive-pulmonary-disease-copd,associated_with,cold temperatures
chronic-obstructive-pulmonary-disease-copd,has_symptom,anorexia
medication adherence,prevents,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,associated_with,respiratory syncytial virus
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,quitting_smoking
chronic-obstructive-pulmonary-disease-copd,associated_with,activity planning
chronic-obstructive-pulmonary-disease-copd,has_subtype,chronic-bronchitis
flare-ups,causes,pneumonia
occupational exposure to dusts,causes,chronic-obstructive-pulmonary-disease-copd
occupational exposure to respiratory hazards,associated_with,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,is_treated_by,patient-support-group
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,obesity
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,current tobacco smoking
chronic-obstructive-pulmonary-disease-copd,associated_with,anxiety
chronic-obstructive-pulmonary-disease-copd,associated_with,heart health
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,anxiety
chronic-obstructive-pulmonary-disease-copd,is_treated_by,reflux-reduction
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,alpha-1_antitrypsin_deficiency
chronic-obstructive-pulmonary-disease-copd,has_symptom,frequent coughing or wheezing
chronic-obstructive-pulmonary-disease-copd,is_treated_by,heart-tests
self-management program,prevents,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,low socioeconomic status
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,chest_x-ray
chronic-obstructive-pulmonary-disease-copd,is_treated_by,lung_volume_reduction_surgery
arterial_blood_gas_test,measures,blood_carbon_dioxide_level
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,vitamin d deficiency
inhaler,treats,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,occurs_with,cardiovascular disease
family support,prevents,chronic-obstructive-pulmonary-disease-copd
alpha-1_antitrypsin_deficiency,increases_risk_of,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,is_treated_by,one-way-endobronchial-valves
indoor air pollution,causes,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,is_treated_by,lung_transplant
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,premature birth
chronic-obstructive-pulmonary-disease-copd,associated_with,infections
chronic-obstructive-pulmonary-disease-copd,associated_with,lung cancer
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,lung cancer
acute exacerbation,is_treated_by,bronchodilators
chest_computed_tomography_scan,detects,pneumonia
chronic-obstructive-pulmonary-disease-copd,is_treated_by,covid-19-vaccine
chronic-obstructive-pulmonary-disease-copd,has_symptom,fatigue
chronic-obstructive-pulmonary-disease-copd,associated_with,depression
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,depression
chronic-obstructive-pulmonary-disease-copd,associated_with,respiratory infections
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,heart-disease
flare-ups,associated_with,infection
chronic-obstructive-pulmonary-disease-copd,is_treated_by,antibiotics
chronic-obstructive-pulmonary-disease-copd,associated_with,peripheral artery disease
chronic-obstructive-pulmonary-disease-copd,is_treated_by,heartburn-management
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,tobacco cessation
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,healthcare provider
physical activity,prevents,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,bullae-formation
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,peripheral-artery-disease
chronic-obstructive-pulmonary-disease-copd,is_treated_by,healthcare-provider-guidance
infection,causes,flare-ups
chronic-obstructive-pulmonary-disease-copd,occurs_with,heart-failure
chronic-obstructive-pulmonary-disease-copd,is_treated_by,regular-dental-check-ups
chronic-obstructive-pulmonary-disease-copd,is_treated_by,professional-counselor
chronic-obstructive-pulmonary-disease-copd,is_treated_by,healthy-diet
chronic-obstructive-pulmonary-disease-copd,is_treated_by,yearly-computed-tomography-scans
air pollution,causes,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,associated_with,pneumonia
chronic-obstructive-pulmonary-disease-copd,is_treated_by,pulmonary rehabilitation program
chronic-obstructive-pulmonary-disease-copd,associated_with,elevated prevalence in rural regions
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,pneumonia
chronic-obstructive-pulmonary-disease-copd,is_treated_by,self-management-program
chronic-obstructive-pulmonary-disease-copd,is_caused_by,inhalational smoke exposure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,silica exposure
smoking cessation,prevents,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,occurs_with,alveolar destruction
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,airflow limitation
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,indoor air pollution
chronic-obstructive-pulmonary-disease-copd,associated_with,heart failure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,smoking_habits
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,dust_exposure
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,cholinergic receptor nicotinic alpha subunit gene mutation
emphysema,is_caused_by,damage to alveolar septa
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,frequent-colds
spirometry,measures,air_exhaled_volume
chronic-obstructive-pulmonary-disease-copd,is_diagnosed_by,computed-tomography-scans
