subject,predicate,object
precautions to prevent spread,includes,staying home
chronic_kidney_disease,associated_with,increased_covid-19_risk
coronavirus-disease-(covid-19),has_symptom,muscle aches
coronavirus-disease-(covid-19),has_risk_factor,high blood pressure
covid-19 prevention,associated_with,staying home when sick
chronic_lung_disease,has_symptom,pulmonary_embolism
coronavirus-disease-(covid-19),has_symptom,loss of sense of taste
coronavirus-disease-(covid-19),has_symptom,chills
human immunodeficiency virus (hiv),increases_risk,severe coronavirus disease (covid-19)
chronic_lung_disease,has_symptom,chronic_bronchitis
new variants,associated_with,different spreading ways
coronavirus-disease-(covid-19),is_prevented_by,putting distance between yourself and others
coronavirus-disease-(covid-19),occurs_with,flu
coronavirus-disease-(covid-19),leads_to_complication,liver injury
respiratory_viruses,includes,coronavirus-disease-(covid-19)
vaccination,prioritizes,persons aged 60 years and older
coronavirus-disease-(covid-19),requires,treatment as soon as possible
protective actions,treats,coronavirus-disease-(covid-19)
coronavirus-disease-(covid-19),has_risk_factor,unvaccinated status
covid-19,is_treated_by,lagevrio
coronavirus-disease-(covid-19),has_symptom,heavy arms or legs
coronavirus-disease-(covid-19),leads_to_complication,heart injury
coronavirus-disease-(covid-19),is_diagnosed_by,testing for covid-19
respiratory viruses,includes,flu
coronavirus-disease-(covid-19),has_symptom,numbness or tingling
coronavirus-disease-(covid-19),has_risk_factor,immunocompromised state
coronavirus-disease-(covid-19),has_symptom,tight chest
covid-19,is_treated_by,paxlovid
precautions to prevent spread,includes,avoiding others
coronavirus-disease-(covid-19),has_symptom,muscle or body aches
covid-19 prevention,associated_with,cleaner air
coronavirus-disease-(covid-19),is_treated_by,early_treatment_within_5-7_days_of_symptom_onset
coronavirus-disease-(covid-19),has_symptom,appetite loss
coronavirus-disease-(covid-19),is_prevented_by,covid-19 prevention
coronavirus-disease-(covid-19),has_symptom,nausea
coronavirus-disease-(covid-19),has_risk_factor,hiv
coronavirus-disease-(covid-19),leads_to_complication,new variants
coronavirus-disease-(covid-19),is_prevented_by,protective actions
covid-19,leads_to_complication,death
coronavirus-disease-(covid-19),is_prevented_by,vaccination
reinfections,associated_with,coronavirus-disease-(covid-19)
coronavirus-disease-(covid-19),leads_to_complication,trouble breathing
coronavirus-disease-(covid-19),is_prevented_by,covid-19 vaccination
hemoglobin_blood_disorders,associated_with,sickle_cell_disease
coronavirus-disease-(covid-19),has_risk_factor,medical complexity
coronavirus-disease-(covid-19),is_spread_by,contaminated surfaces
coronavirus-disease-(covid-19),has_risk_factor,diabetes
coronavirus-disease-(covid-19),has_risk_factor,immunosuppression
covid-19 prevention,associated_with,good hygiene
dementia,associated_with,neurological_conditions
coronavirus-disease-(covid-19),leads_to_complication,post-covid conditions
coronavirus-disease-(covid-19),has_symptom,fatigue
coronavirus-disease-(covid-19),is_diagnosed_by,nucleic acid amplification tests (naats)
chronic_lung_disease,has_symptom,bronchopulmonary_dysplasia
coronavirus-disease-(covid-19),leads_to_complication,sepsis
rheumatological disease,increases_risk,severe coronavirus disease (covid-19)
dementia,increases_risk,severe coronavirus disease (covid-19)
coronavirus-disease-(covid-19),has_symptom,chest pain
coronavirus-disease-(covid-19),leads_to_complication,respiratory failure
vaccination,includes,primary series vaccination
coronavirus-disease-(covid-19),is_caused_by,sars-cov-2 coronavirus
coronavirus-disease-(covid-19),has_symptom,runny or blocked nose
coronavirus-disease-(covid-19),has_symptom,diarrhea
covid-19_vaccines,prevents,covid-19
severe illness,associated_with,hospitalization
coronavirus-disease-(covid-19),is_prevented_by,frequent hand cleaning
coronavirus-disease-(covid-19),is_prevented_by,lowering transmission risk
covid-19,has_risk_factor,older_adults
coronavirus-disease-(covid-19),is_prevented_by,covid-19 vaccines
covid-19,is_treated_by,antiviral_medications
coronavirus-disease-(covid-19),has_risk_factor,people with disabilities
covid-19,has_risk_factor,weakened_immune_system
vaccination,includes,booster dose administration
pcr_tests,is_a_type_of,nucleic_acid_amplification_tests_(naats)
pregnancy,has_risk_factor,increased_covid-19_severity
long covid,has_symptom,cognitive dysfunction
self-tests,is_a_type_of,antigen_tests
coronavirus-disease-(covid-19),has_risk_factor,certain disabilities
