subject,predicate,object
influenza viruses,causes,influenza
influenza,prevented_by,staying home when unwell
worker absenteeism,associated_with,influenza
influenza,has_risk_factor,chronic medical conditions
vaccination,prevents,influenza
influenza,transmitted_by,cough
influenza,occurs_with,respiratory viruses
influenza,has_risk_factor,immunosuppressive conditions
medical care,treats,influenza
influenza,prevented_by,respiratory etiquette
influenza,prevented_by,avoiding close contact
influenza,is_diagnosed_by,laboratory diagnostic test
chronic disease worsening,complicates,influenza
influenza,has_risk_factor,pregnant women
respiratory etiquette,prevents,influenza
health and care workers,at_risk_for,influenza
influenza,associated_with,worker absenteeism
rapid diagnostic tests,diagnoses,influenza
death,complicates,influenza
influenza,associated_with,high mortality in developing countries
influenza transmission,prevented_by,respiratory hygiene
productivity losses,associated_with,influenza
pandemic,caused_by,influenza a(h1n1)
influenza,has_symptom,fever
influenza,transmitted_by,contaminated hands
influenza,is_diagnosed_by,clinical diagnosis
immunosuppressive conditions,increases_risk_of,influenza
symptom relief,treats,influenza
respiratory viruses,occurs_with,influenza
influenza,leads_to_complication,sepsis
antiviral medications,treats,influenza
influenza,associated_with,productivity losses
sneeze,transmits,influenza
influenza,is_prevented_by,vaccination
high mortality in developing countries,associated_with,influenza
reverse transcriptase-polymerase chain reaction,diagnoses,influenza
influenza transmission,prevented_by,hand washing
influenza,is_diagnosed_by,reverse transcriptase-polymerase chain reaction
influenza,transmitted_by,sneeze
influenza,has_symptom,body aches
influenza,is_treated_by,antiviral medications
influenza,has_symptom,sudden onset of fever
influenza a viruses,causes,seasonal epidemics
immunosuppressive treatments,increases_risk_of,influenza
influenza,has_symptom,runny nose
influenza,occurs_with,influenza-like illness
chronic medical conditions,increases_risk_of,influenza
laboratory diagnostic test,diagnoses,influenza
influenza,is_prevented_by,annual vaccination
influenza,has_complication,severe illness
cough,transmits,influenza
children under 5 years of age,at_risk_for,influenza
influenza,has_risk_factor,children under 5 years of age
influenza,is_treated_by,symptom relief
avoiding close contact,prevents,influenza
influenza,associated_with,high-risk groups
severe illness,complicates,influenza
influenza,has_symptom,sore throat
influenza,has_symptom,muscle and joint pain
influenza,associated_with,seasonal epidemics
influenza,has_complication,death
seasonal epidemics,caused_by,influenza b viruses
influenza a(h3n2),causes,seasonal epidemics
influenza,is_treated_by,medical care
influenza,has_symptom,fatigue
high-risk groups,associated_with,influenza
hand hygiene,prevents,influenza
influenza,has_risk_factor,immunosuppressive treatments
influenza,has_symptom,severe malaise
influenza,is_diagnosed_by,rapid diagnostic tests
influenza,is_treated_by,rest
influenza vaccines,prevents,influenza
influenza,has_symptom,headache
influenza,has_symptom,cough
clinical diagnosis,diagnoses,influenza
influenza,has_risk_factor,age 65 years and older
influenza,is_treated_by,fluid intake
influenza,is_caused_by,influenza viruses
pneumonia,complicates,influenza
age under 5 years,at_risk_for,influenza
influenza b viruses,causes,seasonal epidemics
staying home when unwell,prevents,influenza
influenza,has_risk_factor,age 65 years or older
pregnant women,at_risk_for,influenza
influenza,prevented_by,hand hygiene
contaminated hands,transmits,influenza
annual vaccination,prevents,influenza
influenza-like illness,occurs_with,influenza
seasonal epidemics,caused_by,influenza a viruses
hand washing,prevents,influenza transmission
influenza,has_risk_factor,health and care workers
age 65 years and older,at_risk_for,influenza
respiratory hygiene,prevents,influenza transmission
influenza,has_incubation_period,1-4 days
influenza a(h1n1),causes,pandemic
influenza,leads_to_complication,chronic disease worsening
influenza,leads_to_complication,pneumonia
sepsis,complicates,influenza
influenza,has_risk_factor,age under 5 years
1-4 days,incubation_period_of,influenza
