subject,predicate,object
pneumococcus vaccines,associated_with,people with weak immune systems
community transmission,leads_to,pneumonia outbreak
flu vaccination,associated_with,annual vaccination
pneumonia,prevented_by,physical activity
pneumonia,has_risk_factor,aspiration
pneumonia,has_risk_factor,hospital-acquired_infection
hand hygiene,part_of,good hygiene practices
pneumonia,has_risk_factor,flu or pneumonia vaccinations
pneumonia,is_prevented_by,hand_washing
pneumonia,has_symptom,altered mental status
community transmission,prevented_by,herd immunity
alveolar consolidation,results_in,impaired gas exchange
pneumonia,has_symptom,weakness
pneumonia,leads_to_complication,bacteremia
other medical conditions,has_risk_factor,organ or bone marrow transplant
difficulty breathing,alleviated_by,oxygen therapy
pneumonia,prevented_by,vaccination
pneumonia,treated_with,antifungal_medications
pneumonia,requires,hospitalization
pneumonia,has_risk_factor,indoor air pollution exposure
pneumonia,has_symptom,sudden confusion
immunization_against_pneumococcus,prevents,pneumococcal_infection
viral infection,includes,varicella infection
antibiotics,ineffective_against,viral pneumonia
vaccination,prevents,pneumonia outbreak
pneumonia,is_treated_by,vaccines
pneumonia,is_treated_by,intravenous_fluids
bronchoscopy,performed_in,pneumonia diagnosis
pneumococcus vaccines,associated_with,people with chronic diseases
bacterial infection,caused_by,bacterial pathogens
vaccination,induces,immunity
bacterial infection,includes,streptococcal infection
pneumonia,leads_to_complication,respiratory_failure
moderate pneumonia,requires,hospitalization
pneumonia,is_caused_by,human metapneumovirus infection
pneumonia,is_prevented_by,cardiovascular wellness
pneumonia,prevented_by,herd immunity
pneumonia,associated_with,age group
haemophilus_influenzae_type_b_infection,causes,pneumonia
pneumonia,is_treated_by,antivirals
alcohol_and_drug_use,causes,weakened_immune_system
vaccination,includes,immunization against measles
pneumonia,associated_with,lung tissue analysis
other medical conditions,has_risk_factor,hiv/aids
pneumonia,has_risk_factor,exposure to sick people
pneumonia,transmitted_through,respiratory droplets
untreated_pneumonia,leads_to,complications
pneumonia,has_symptom,rales
immune function,protects_against,pneumonia
pneumonia,diagnosed_by,chest_x-ray
vaccination,includes,immunization against influenza
pneumonia,occurs_with,viral_infection
pneumonia,diagnosed_by,blood_tests
pneumonia,has_risk_factor,untreated_pneumonia
pneumonia,has_risk_factor,dementia
pneumonia,leads_to_complication,pleural disorders
pneumonia,has_risk_factor,excessive alcohol consumption
immunization_against_measles,prevents,measles_infection
fever,associated_with,pneumonia
infant immune system,protected_by,exclusive breastfeeding
herd immunity,reduces,community transmission
hygienic practices,includes,smoking cessation
alveolar consolidation,diagnosed_by,chest x-ray
hygienic practices,includes,surface decontamination
pneumonia,caused_by,bacterial infection
pneumonia,is_treated_by,antifungal_medicines
pneumonia,is_diagnosed_by,blood culture
antibiotic administration,targets,bacterial pathogens
pneumonia,has_symptom,bluish tone to skin and lips
pneumonia,occurs_with,atypical pneumonia
environment,has_risk_factor,air pollution
lifestyle habits,has_risk_factor,drug or alcohol use
pneumonia,treated_with,physical_therapy
balanced nutrition,prevents,pneumonia
vaccination,includes,immunization against pertussis
pneumococcus vaccines,associated_with,adults age 65 or older
post-intensive care syndrome,affects,pneumonia survivors
pneumonia,leads_to_complication,life-threatening_illness
pneumonia,has_symptom,lethargy
other serious conditions,has_risk_factor,liver disease
pneumonia in infants,prevented_by,exclusive breastfeeding
influenza_infection,causes,pneumonia
environmental control,reduces_risk_of,pneumonia
good hygiene practices,reduce,community transmission
viral infection,is_caused_by,sars-cov-2
pneumonia,is_treated_by,pulmonary_rehabilitation
oral_antibiotics,treats,pneumonia
pneumonia,is_caused_by,haemophilus influenzae infection
pneumonia,is_prevented_by,vaccination
pneumonia,occurs_with,walking pneumonia
pneumonia,associated_with,hospitalization
pneumonia,has_risk_factor,substance abuse
hygienic practices,includes,avoiding close contact with sick individuals
pneumonia,diagnosed_by,arterial_blood_gas_analysis
pneumonia,has_risk_factor,past medical conditions
pneumonia,occurs_with,bacterial_infection
pneumonia,is_prevented_by,hygiene maintenance
pneumonia,diagnosed_using,chest x-ray
pneumonia,has_symptom,cyanosis
pneumonia,has_risk_factor,air pollution exposure
pneumonia,is_prevented_by,quitting smoking
pneumonia,associated_with,oxygen levels in blood
pneumonia,has_risk_factor,tobacco smoking
close contact,reduced_by,hand hygiene
cough,associated_with,pneumonia
pneumonia,caused_by,viral infection
ventilator,treats,respiratory_failure
pneumonia,is_treated_by,physical_therapy
pneumonia,is_prevented_by,immunization_against_pneumococcus
pneumonia management,guided_by,global health guidelines
pneumonia,is_caused_by,bacteria
pneumonia diagnosis,confirmed_by,laboratory testing
pneumonia,is_caused_by,legionella pneumophila infection
hand hygiene,prevents,community transmission
pneumonia,is_caused_by,viruses
pneumonia,is_treated_by,oxygen supplementation
respiratory droplets,transmitted_through,sneezing
pneumonia,has_symptom,loss_of_appetite
pneumonia,is_treated_by,corticosteroids
pneumonia,has_symptom,high_fever
pneumonia outbreak,controlled_by,vaccination
pneumonia,associated_with,general health status
pneumonia,prevented_by,smoking cessation
environmental control,includes,reducing indoor air pollution
pneumonia,has_risk_factor,chronic lung disease
genetic predisposition,increases_risk,pneumonia susceptibility
pneumonia,is_prevented_by,smoking cessation programs
pneumonia,diagnosed_by,medical_history
pneumonia in infants,associated_with,low birth weight
pneumonia,diagnosed_using,blood tests
laboratory testing,utilizes,sputum culture
pneumonia,has_risk_factor,chronic liver disease
physical activity,enhances,immune function
world health organization,supports,community health worker training
pneumonia,is_diagnosed_by,health_centre_diagnosis
hygienic practices,includes,hand hygiene
pneumonia,has_symptom,rapid breathing
pneumonia,is_prevented_by,immunization_against_influenza
antifungal_medicines,treats,fungal_pneumonia
vaccination,prevents,varicella
world health organization,provides,global health guidelines
pneumonia,has_risk_factor,age 65 years or older
pneumonia,transmitted_in,community
