subject,predicate,object
active_tb_disease,has_symptom,night_sweats
tuberculosis,has_symptom,weakness_or_fatigue
tb_germs,develops,resistance
active tb disease,leads_to_complication,fatal_outcome
inactive_tb,is_treated_by,preventive_therapy
tuberculosis,is_treated_by,directly_observed_therapy
tb_diagnosis,confirms,mycobacterium_tuberculosis
tuberculosis,improves_with,early_detection
tuberculosis,progress_towards,mortality_reduction
tuberculosis,is_diagnosed_by,interferon_gamma_release_assay
tb_treatment,treats,active_tb_disease
tb_treatment,consists_of,combination_anti-tb_therapy
zeihl-neelsen_staining,is_used_for,tb_diagnosis
tb_germs,spreads_in,poorly_ventilated_areas
tuberculosis,has_symptom,loss_of_appetite
tuberculosis,occurs_with,human_immunodeficiency_virus_infection
active_tb_disease,is_prevented_by,treatment_for_inactive_tb
tuberculosis,impacts,global_health
contact_tracing,identifies,exposed_individuals
tuberculosis,transmitted_via,respiratory_droplets
tuberculosis,has_symptom,chronic_cough
tuberculosis,supported_by,community_engagement
active_tb_disease,occurs_with,clinical_manifestations
inactive tb,leads_to_complication,active_tb_disease
acid-fast_bacilli,retains,stain_during_decolorization
inactive tb,has_risk_factor,diabetes
tuberculosis,has_risk_factor,severe_kidney_disease
contact_investigation,requires,contact_management
tuberculosis,spreads_through,coughing
tuberculosis,has_risk_factor,head_and_neck_cancer
bcg_vaccine,has_efficacy,variable_effectiveness
alcohol_use_disorders,associated_with,tuberculosis
tuberculosis,has_risk_factor,weakened_immune_system
bcg_vaccine,prevents,tuberculosis
tb_infection,occurs_with,travel_to_tb_endemic_countries
active tb disease,is_treated_by,medicine
tuberculosis,associated_with,alcohol_use_disorders
exposure_in_homeless_shelters,causes,increased_risk_of_tb_exposure
tuberculosis,has_symptom,chest_pain
tuberculosis,is_treated_in,hospitals
tuberculosis,managed_by,health_systems
tb_skin_test,has_risk_factor,false_positive_reaction_with_bcg_vaccine
exposure_in_countries_with_high_tb_burden,causes,increased_risk_of_tb_exposure
latent_tb_infection,leads_to_complication,active_tb_disease
tuberculosis,occurs_with,exposure_in_high-burden_countries
isolation_precautions,prevent,airborne_transmission
tb_exposure,has_risk_factor,poor_ventilation
